SR CREATE DATE,call_year,call_month,call_day,weatherflag,call_count
2018-04-10,2018,4,10,0,1489
2018-04-11,2018,4,11,0,1221
2018-04-12,2018,4,12,0,1381
2018-04-13,2018,4,13,0,1262
2018-04-14,2018,4,14,0,533
2018-04-15,2018,4,15,0,258
2018-04-16,2018,4,16,0,1291
2018-04-17,2018,4,17,0,1627
2018-04-18,2018,4,18,0,1300
2018-04-19,2018,4,19,0,1301
2018-04-20,2018,4,20,0,1519
2018-04-21,2018,4,21,0,525
2018-04-22,2018,4,22,0,360
2018-04-23,2018,4,23,0,1516
2018-04-24,2018,4,24,0,1538
2018-04-25,2018,4,25,0,1525
2018-04-26,2018,4,26,0,1554
2018-04-27,2018,4,27,0,1482
2018-04-28,2018,4,28,0,578
2018-04-29,2018,4,29,0,385
2018-04-30,2018,4,30,0,1260
2018-05-01,2018,5,1,0,1223
2018-05-02,2018,5,2,0,1047
2018-05-03,2018,5,3,0,1270
2018-05-04,2018,5,4,0,1131
2018-05-05,2018,5,5,0,396
2018-05-06,2018,5,6,0,314
2018-05-07,2018,5,7,0,1311
2018-05-08,2018,5,8,0,2448
2018-05-09,2018,5,9,0,1407
2018-05-10,2018,5,10,0,1165
2018-05-11,2018,5,11,0,1106
2018-05-12,2018,5,12,0,378
2018-05-13,2018,5,13,0,227
2018-05-14,2018,5,14,0,1352
2018-05-15,2018,5,15,0,1235
2018-05-16,2018,5,16,0,1434
2018-05-17,2018,5,17,0,1131
2018-05-18,2018,5,18,0,1370
2018-05-19,2018,5,19,0,435
2018-05-20,2018,5,20,0,356
2018-05-21,2018,5,21,0,1510
2018-05-22,2018,5,22,0,1601
2018-05-23,2018,5,23,0,1255
2018-05-24,2018,5,24,0,1074
2018-05-25,2018,5,25,0,1065
2018-05-26,2018,5,26,1,414
2018-05-27,2018,5,27,0,372
2018-05-28,2018,5,28,0,307
2018-05-29,2018,5,29,0,1512
2018-05-30,2018,5,30,0,1352
2018-05-31,2018,5,31,0,1436
2018-06-01,2018,6,1,0,1284
2018-06-02,2018,6,2,0,494
2018-06-03,2018,6,3,0,309
2018-06-04,2018,6,4,0,1465
2018-06-05,2018,6,5,0,1500
2018-06-06,2018,6,6,0,1251
2018-06-07,2018,6,7,0,1255
2018-06-08,2018,6,8,0,1177
2018-06-09,2018,6,9,0,484
2018-06-10,2018,6,10,0,287
2018-06-11,2018,6,11,0,1356
2018-06-12,2018,6,12,0,1444
2018-06-13,2018,6,13,0,1400
2018-06-14,2018,6,14,1,1461
2018-06-15,2018,6,15,0,1022
2018-06-16,2018,6,16,0,486
2018-06-17,2018,6,17,0,288
2018-06-18,2018,6,18,0,1319
2018-06-19,2018,6,19,0,1407
2018-06-20,2018,6,20,0,1389
2018-06-21,2018,6,21,0,1306
2018-06-22,2018,6,22,0,1252
2018-06-23,2018,6,23,0,458
2018-06-24,2018,6,24,0,294
2018-06-25,2018,6,25,0,1582
2018-06-26,2018,6,26,0,1353
2018-06-27,2018,6,27,0,1126
2018-06-28,2018,6,28,0,1357
2018-06-29,2018,6,29,0,1340
2018-06-30,2018,6,30,0,437
2018-07-01,2018,7,1,0,273
2018-07-02,2018,7,2,0,1545
2018-07-03,2018,7,3,1,1211
2018-07-04,2018,7,4,1,917
2018-07-05,2018,7,5,0,1611
2018-07-06,2018,7,6,0,1283
2018-07-07,2018,7,7,0,395
2018-07-08,2018,7,8,0,318
2018-07-09,2018,7,9,0,1445
2018-07-10,2018,7,10,0,1607
2018-07-11,2018,7,11,0,1368
2018-07-12,2018,7,12,0,1408
2018-07-13,2018,7,13,0,1544
2018-07-14,2018,7,14,0,458
2018-07-15,2018,7,15,0,292
2018-07-16,2018,7,16,0,1604
2018-07-17,2018,7,17,0,1529
2018-07-18,2018,7,18,0,1492
2018-07-19,2018,7,19,0,1374
2018-07-20,2018,7,20,0,1188
2018-07-21,2018,7,21,0,434
2018-07-22,2018,7,22,0,331
2018-07-23,2018,7,23,0,1578
2018-07-24,2018,7,24,0,1519
2018-07-25,2018,7,25,0,1343
2018-07-26,2018,7,26,0,1124
2018-07-27,2018,7,27,0,1218
2018-07-28,2018,7,28,0,499
2018-07-29,2018,7,29,0,285
2018-07-30,2018,7,30,0,1403
2018-07-31,2018,7,31,1,1395
2018-08-01,2018,8,1,0,1312
2018-08-02,2018,8,2,0,1322
2018-08-03,2018,8,3,0,1152
2018-08-04,2018,8,4,0,508
2018-08-05,2018,8,5,0,309
2018-08-06,2018,8,6,0,1255
2018-08-07,2018,8,7,0,1333
2018-08-08,2018,8,8,0,1260
2018-08-09,2018,8,9,0,1157
2018-08-10,2018,8,10,1,1355
2018-08-11,2018,8,11,0,624
2018-08-12,2018,8,12,0,335
2018-08-13,2018,8,13,0,1453
2018-08-14,2018,8,14,0,1494
2018-08-15,2018,8,15,0,1269
2018-08-16,2018,8,16,0,1456
2018-08-17,2018,8,17,0,1457
2018-08-18,2018,8,18,0,524
2018-08-19,2018,8,19,0,356
2018-08-20,2018,8,20,0,1477
2018-08-21,2018,8,21,0,1485
2018-08-22,2018,8,22,0,1393
2018-08-23,2018,8,23,0,1416
2018-08-24,2018,8,24,0,1322
2018-08-25,2018,8,25,0,653
2018-08-26,2018,8,26,0,342
2018-08-27,2018,8,27,1,1713
2018-08-28,2018,8,28,1,1737
2018-08-29,2018,8,29,0,1325
2018-08-30,2018,8,30,0,1575
2018-08-31,2018,8,31,0,1314
2018-09-01,2018,9,1,0,487
2018-09-02,2018,9,2,0,278
2018-09-03,2018,9,3,0,449
2018-09-04,2018,9,4,0,1489
2018-09-05,2018,9,5,0,1388
2018-09-06,2018,9,6,0,1720
2018-09-07,2018,9,7,0,1743
2018-09-08,2018,9,8,0,489
2018-09-09,2018,9,9,0,586
2018-09-10,2018,9,10,0,1725
2018-09-11,2018,9,11,0,1445
2018-09-12,2018,9,12,0,1566
2018-09-13,2018,9,13,0,1334
2018-09-14,2018,9,14,0,1161
2018-09-15,2018,9,15,0,525
2018-09-16,2018,9,16,0,326
2018-09-17,2018,9,17,0,1703
2018-09-18,2018,9,18,0,1576
2018-09-19,2018,9,19,0,1340
2018-09-20,2018,9,20,0,1293
2018-09-21,2018,9,21,0,1185
2018-09-22,2018,9,22,0,469
2018-09-23,2018,9,23,0,389
2018-09-24,2018,9,24,0,1413
