SR CREATE DATE,SR TYPE,count_sr_type,rank_no,call_year,call_month,call_day
2017-04-08,Water Leak,30,3,2017,4,8
2017-04-09,Nuisance On Property,37,1,2017,4,9
2017-04-09,Traffic Signal Maintenance,31,2,2017,4,9
2017-04-09,Sewer Wastewater,26,3,2017,4,9
2017-04-10,Container Problem,94,1,2017,4,10
2017-04-10,Nuisance On Property,87,2,2017,4,10
2017-04-10,Missed Garbage Pickup,83,3,2017,4,10
2017-04-11,Missed Garbage Pickup,100,1,2017,4,11
2017-04-11,Missed Recycling Pickup,93,2,2017,4,11
2017-04-11,Traffic Signal Maintenance,84,3,2017,4,11
2017-04-12,Nuisance On Property,118,1,2017,4,12
2017-04-12,Missed Garbage Pickup,83,2,2017,4,12
2017-04-12,Missed Recycling Pickup,80,3,2017,4,12
2017-04-13,Container Problem,74,1,2017,4,13
2017-04-13,Missed Garbage Pickup,68,2,2017,4,13
2017-04-13,Nuisance On Property,63,3,2017,4,13
2017-04-14,Missed Garbage Pickup,90,1,2017,4,14
2017-04-14,Container Problem,61,2,2017,4,14
2017-04-14,Sewer Wastewater,58,3,2017,4,14
2017-04-15,Traffic Signal Maintenance,35,1,2017,4,15
2017-04-15,Water Leak,34,2,2017,4,15
2017-04-15,Sewer Wastewater,29,3,2017,4,15
2017-04-16,Sewer Wastewater,26,1,2017,4,16
2017-04-16,Nuisance On Property,23,2,2017,4,16
2017-04-16,Water Leak,22,3,2017,4,16
2017-04-17,Nuisance On Property,106,1,2017,4,17
2017-04-17,Container Problem,100,2,2017,4,17
2017-04-17,Sewer Wastewater,72,3,2017,4,17
2017-04-18,Missed Garbage Pickup,103,1,2017,4,18
2017-04-18,Container Problem,98,2,2017,4,18
2017-04-18,Traffic Signal Maintenance,74,3,2017,4,18
2017-04-19,Nuisance On Property,112,1,2017,4,19
2017-04-19,Sewer Wastewater,76,2,2017,4,19
2017-04-19,Missed Recycling Pickup,66,3,2017,4,19
2017-04-20,Nuisance On Property,96,1,2017,4,20
2017-04-20,Container Problem,77,2,2017,4,20
2017-04-20,Water Leak,72,3,2017,4,20
2017-04-21,Missed Garbage Pickup,104,1,2017,4,21
2017-04-21,Nuisance On Property,78,2,2017,4,21
2017-04-21,Container Problem,76,3,2017,4,21
2017-04-22,Missed Garbage Pickup,40,1,2017,4,22
2017-04-22,Water Leak,37,2,2017,4,22
2017-04-22,Sewer Wastewater,36,3,2017,4,22
2017-04-23,Water Leak,27,1,2017,4,23
2017-04-23,Sewer Wastewater,27,2,2017,4,23
2017-04-23,Nuisance On Property,23,3,2017,4,23
2017-04-24,Nuisance On Property,144,1,2017,4,24
2017-04-24,Container Problem,123,2,2017,4,24
2017-04-24,Missed Garbage Pickup,112,3,2017,4,24
2017-04-25,Missed Garbage Pickup,141,1,2017,4,25
2017-04-25,Missed Recycling Pickup,139,2,2017,4,25
2017-04-25,Nuisance On Property,109,3,2017,4,25
2017-04-26,Nuisance On Property,88,1,2017,4,26
2017-04-26,Water Leak,73,2,2017,4,26
2017-04-26,Container Problem,69,3,2017,4,26
2017-04-27,Nuisance On Property,83,1,2017,4,27
2017-04-27,Missed Garbage Pickup,68,2,2017,4,27
2017-04-27,Container Problem,60,3,2017,4,27
2017-04-28,Missed Garbage Pickup,108,1,2017,4,28
2017-04-28,Nuisance On Property,106,2,2017,4,28
2017-04-28,Missed Recycling Pickup,84,3,2017,4,28
2017-04-29,Traffic Signal Maintenance,55,1,2017,4,29
2017-04-29,Street Hazard,54,2,2017,4,29
2017-04-29,Sewer Wastewater,38,3,2017,4,29
2017-04-30,Traffic Signal Maintenance,30,1,2017,4,30
2017-04-30,Water Leak,23,2,2017,4,30
2017-04-30,Street Hazard,18,3,2017,4,30
2017-05-01,Nuisance On Property,82,1,2017,5,1
2017-05-01,Water Leak,81,2,2017,5,1
2017-05-01,Missed Garbage Pickup,76,3,2017,5,1
2017-05-02,Container Problem,125,1,2017,5,2
2017-05-02,Missed Garbage Pickup,84,2,2017,5,2
2017-05-02,Nuisance On Property,75,3,2017,5,2
2017-05-03,Container Problem,74,1,2017,5,3
2017-05-03,Nuisance On Property,72,2,2017,5,3
2017-05-03,Water Leak,66,3,2017,5,3
2017-05-04,Traffic Signal Maintenance,111,1,2017,5,4
2017-05-04,Missed Garbage Pickup,96,2,2017,5,4
2017-05-04,Nuisance On Property,82,3,2017,5,4
2017-05-05,Missed Garbage Pickup,117,1,2017,5,5
2017-05-05,Container Problem,79,2,2017,5,5
2017-05-05,Nuisance On Property,75,3,2017,5,5
2017-05-06,Sewer Wastewater,38,1,2017,5,6
2017-05-06,Traffic Signal Maintenance,37,2,2017,5,6
2017-05-06,Missed Garbage Pickup,36,3,2017,5,6
2017-05-07,Traffic Signal Maintenance,25,1,2017,5,7
2017-05-07,Sewer Wastewater,23,2,2017,5,7
2017-05-07,Traffic Signs,21,3,2017,5,7
2017-05-08,Container Problem,115,1,2017,5,8
2017-05-08,Nuisance On Property,110,2,2017,5,8
2017-05-08,Sewer Wastewater,77,3,2017,5,8
2017-05-09,Nuisance On Property,95,1,2017,5,9
2017-05-09,Container Problem,94,2,2017,5,9
2017-05-09,Missed Garbage Pickup,84,3,2017,5,9
2017-05-10,Nuisance On Property,73,1,2017,5,10
2017-05-10,Container Problem,72,2,2017,5,10
2017-05-10,Water Leak,56,3,2017,5,10
2017-05-11,Nuisance On Property,87,1,2017,5,11
2017-05-11,Container Problem,61,2,2017,5,11
2017-05-11,Sewer Wastewater,59,3,2017,5,11
2017-05-12,Missed Garbage Pickup,111,1,2017,5,12
2017-05-12,Nuisance On Property,70,2,2017,5,12
2017-05-12,Container Problem,61,3,2017,5,12
2017-05-13,Trash Dumping or Illegal Dumpsite,53,1,2017,5,13
2017-05-13,Sewer Wastewater,29,2,2017,5,13
2017-05-13,Water Leak,27,3,2017,5,13
2017-05-14,Nuisance On Property,40,1,2017,5,14
2017-05-14,Unclassified 311 Web Request,27,2,2017,5,14
2017-05-14,Water Leak,25,3,2017,5,14
2017-05-15,Nuisance On Property,90,1,2017,5,15
2017-05-15,Container Problem,88,2,2017,5,15
2017-05-15,Sewer Wastewater,84,3,2017,5,15
2017-05-16,Container Problem,118,1,2017,5,16
2017-05-16,Missed Garbage Pickup,104,2,2017,5,16
